Assembly Accession,Species,Strain ID,Strain Alias,File Name,length,# tRNA,# rRNA,# CDS,# Contigsa,L90a,GC Content %,Assembly Stats Contig L50,Assembly Stats Contig N50,Assembly Stats GC Count,Assembly Stats GC Percent,Assembly Stats Genome Coverage,Assembly Stats Number of Component Sequences,Assembly Stats Number of Contigs,Assembly Stats Number of Scaffolds,Assembly Stats Scaffold L50,Assembly Stats Scaffold N50,Assembly Stats Total Number of Chromosomes,Assembly Stats Total Sequence Length,Assembly Stats Total Ungapped Length,CheckM completeness,CheckM completeness percentile,CheckM contamination,CheckM marker set,CheckM marker set rank,CheckM species tax id,CheckM version
GCF_025151445.1,C. nasorum ('C. kefirresidentii'),LK1134,NA,Cke_LK1134.fasta,2417892,51,3,2310,19,10,0.58650000000000002,4,259951,1418025,58.5,167.0x,19,19,NA,NA,NA,NA,2417892,2417892,99.9,100,0.5,Corynebacterium,genus,1979527,v1.2.3
GCF_037908445.1,C. nasorum  (previously 'C. sp'),KPL2825,NA,Cna_KPL2825.fasta,2464329,52,3,2373,60,14,0.5857,6,165767,1442396,58.5,84.0x,27,27,NA,NA,NA,NA,2462237,2462237,99.49,100,NA,Corynebacterium,genus,3135444,v1.2.2
GCF_037908335.1,C. nasorum  (previously 'C. sp'),KPL3649,NA,Cna_KPL3649.fasta,2490788,53,3,2383,55,16,0.58499999999999996,6,152270,1456300,58.5,82.0x,39,39,NA,NA,NA,NA,2489406,2489406,99.9,100,0.41,Corynebacterium,genus,3135443,v1.2.2
GCF_037908315.1,C. nasorum  (previously 'C. sp'),KPL3804,NA,Cna_KPL3804.fasta,2453296,53,4,2317,119,12,0.58489999999999998,5,178651,1425514,58.5,86.0x,31,31,NA,NA,NA,NA,2436571,2436571,99.9,100,NA,Corynebacterium,genus,3135442,v1.2.2
GCF_037908325.1,C. nasorum  (previously 'C. sp'),KPL4035,NA,Cna_KPL4035.fasta,2449227,54,3,2309,68,13,0.58409999999999995,4,219141,1429416,58.5,88.0x,34,34,NA,NA,NA,NA,2447200,2447200,99.38,100,0.06,Corynebacterium,genus,3135441,v1.2.2
GCF_037908395.1,C. nasorum  (previously 'C. sp'),KPL4072,NA,Cna_KPL4072.fasta,2447670,53,3,2352,54,10,0.58460000000000001,4,243288,1427749,58.5,82.0x,26,26,NA,NA,NA,NA,2442435,2442435,99.49,100,NA,Corynebacterium,genus,3135440,v1.2.2
GCF_030232125.1,C. nasorum  (previously 'C. sp'),MSK071,NA,Cna_MSK071.fasta,2509550,52,4,2418,87,16,0.58499999999999996,6,153167,1467618,58.5,100.0x,81,87,81,5,219848,NA,2509550,2508950,99.9,100,0.41,Corynebacterium,genus,1979527,v1.2.2
GCF_030229765.1,C. nasorum  (previously 'C. sp'),MSK185,NA,Cna_MSK185.fasta,2426866,51,3,2320,32,11,0.58650000000000002,5,197679,1423259,58.5,104.0x,31,32,31,4,261772,NA,2426866,2426766,99.9,100,NA,Corynebacterium,genus,1979527,v1.2.2
GCF_030228925.1,C. nasorum  (previously 'C. sp'),MSK194,NA,Cna_MSK194.fasta,2438596,51,4,2303,19,6,0.58509999999999995,2,457733,1426803,58.5,103.0x,19,19,NA,NA,NA,NA,2438596,2438596,99.9,100,NA,Corynebacterium,genus,1979527,v1.2.2
GCF_013408445.1,C. tuberculostearicum,DSM 44922,ATCC 35692,Ctu_DSM_44922.fasta,2453172,51,13,2303,1,1,0.59740000000000004,1,2453172,1465486,59.5,970.0x,1,1,NA,NA,NA,NA,2453172,2453172,99.59,30.76923,NA,Corynebacterium,genus,38304,v1.2.3
GCF_030176495.1,C. tuberculostearicum,KPL3807,NA,Ctu_KPL3807.fasta,2327673,52,7,2206,135,18,0.59919999999999995,7,147217,1393485,60,89.0x,42,42,NA,NA,NA,NA,2323810,2323810,99.49,26.923077,0.41,Corynebacterium,genus,38304,v1.2.2
GCF_030229345.1,C. tuberculostearicum,MSK207,NA,Ctu_MSK207.fasta,2335555,51,5,2183,39,15,0.60009999999999997,6,137039,1401475,60,108.0x,39,39,NA,NA,NA,NA,2335555,2335555,99.9,100,NA,Corynebacterium,genus,38304,v1.2.2
GCF_000175635.1,C. tuberculostearicum,SK141,NA,Ctu_SK141.fasta,2372261,51,3,2233,37,16,0.60009999999999997,5,139979,1423640,60,NA,37,37,NA,NA,NA,NA,2372261,2372261,99.9,100,NA,Corynebacterium,genus,38304,v1.2.2
GCF_027570195.1,C. yonathiae,c21Ua_68,NA,Cyo_c21Ua_68.fasta,2348766,53,3,2232,54,22,0.58679999999999999,9,102354,1409672,58.5,583.0x,54,54,NA,NA,NA,NA,2402165,2402165,99.9,100,NA,Corynebacterium,genus,2913504,v1.2.2
GCF_037908465.1,C. yonathiae,KPL2619,NA,Cyo_KPL2619.fasta,2480185,51,3,2332,112,25,0.58640000000000003,9,87844,1373612,58.5,86.0x,59,59,NA,NA,NA,NA,2341623,2341623,99.9,100,NA,Corynebacterium,genus,2913504,v1.2.2
GCF_022288805.2,C. yonathiae,MSK136,BWA136,Cyo_MSK136.fasta,2402165,51,3,2293,79,22,0.58530000000000004,6,123340,1447470,58.5,102.0x,65,68,65,6,123340,NA,2472773,2472473,99.9,100,0.46,Corynebacterium,genus,2913504,v1.2.2
GCF_023520795.1,C. accolens,DSM 44278,ATCC 49725,C_accolens_DSM_44278.fasta,2465625,51,12,2286,NA,NA,0.59670000000000001,1,2465625,1468516,59.5,64.0x,1,1,1,1,2465625,1,2465625,2465625,98.26,100,3.4,Corynebacterium accolens,species,38284,v1.2.2
GCF_015351335.1,C. afermentans,CCUG 32105,NA,C_afermentans_CCUG_32105.fasta,2332830,54,8,2155,NA,NA,NA,3,389800,1522273,65.5,1000.0x,17,17,NA,NA,NA,NA,2332830,2332830,97.81,100,0.41,Corynebacterium,genus,38286,v1.2.3
GCF_902381765.1,C. ammoniagenes,MGYG_HGUT_01533,NA,C_ammoniagenes_MGYG_HGUT_01533.fasta,2790185,52,12,2524,NA,NA,NA,1,2790185,1549746,55.5,10.0x,1,1,1,1,2790185,1,2790185,2790185,99.49,100,NA,Corynebacterium,genus,1697,v1.2.2
GCF_016728725.1,C. amycolatum,FDAARGOS_1108,NA,C_amycolatum_FDAARGOS_1108.fasta,2476115,55,15,2142,NA,NA,NA,1,2476115,1451436,58.5,1789.1x,1,1,1,1,2476115,1,2476115,2476115,98.87,12.727273,0.1,Corynebacterium,genus,43765,v1.2.2
GCF_900156665.1,C. appendicis,DSM 44531,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,194818,1445809,64.5,369.0x,32,32,NA,NA,NA,NA,2248056,2248056,99.49,100,1.12,Corynebacterium,genus,163202,v1.2.2
GCF_000022905.1,C. aurimucosum,ATCC 700975,NA,C_aurimucosum_ATCC_700975.fasta,2819226,55,13,2655,NA,NA,NA,1,2790189,1707290,60.5,NA,2,2,2,1,2790189,2,2819226,2819226,98.19,97.22222,0.41,Corynebacterium aurimucosum,species,169292,v1.2.2
GCF_003932295.1,C. bovis,4826,NA,C_bovis_4826.fasta,2666089,59,3,2125,NA,NA,NA,2,522674,1941319,73,86.5x,12,12,NA,NA,NA,NA,2666089,2666089,98.87,97.560974,0.23,Corynebacterium,genus,36808,v1.2.2
GCF_030408715.1,C.  confusum,DSM 44384,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2479845,1617810,65,230.4x,2,2,2,1,2479845,2,2485332,2485332,99.34,100,0.35,Corynebacterium,genus,71254,v1.2.3
GCF_000344785.1,C. callunae,DSM 20147,NA,C_callunae_DSM_20147.fasta,2928683,62,21,2690,NA,NA,NA,1,2839551,1536141,52.5,99.5x,3,3,3,1,2839551,3,2928683,2928683,99.49,33.333332,0.41,Corynebacterium,genus,1721,v1.2.2
GCF_000980815.1,C. camporealensis,DSM 44610,NA,C_camporealensis_DSM_44610.fasta,2451810,51,12,2258,NA,NA,NA,1,2451810,1456559,59.5,114.8x,1,1,1,1,2451810,1,2451810,2451810,99.87,100,0.41,Corynebacterium,genus,161896,v1.2.2
GCF_007859215.1,C. canis,CCUG 58627,NA,C_canis_CCUG_58627.fasta,2966962,55,8,2631,NA,NA,NA,11,88832,1785363,60,200.0x,66,66,NA,NA,NA,NA,2966962,2966962,99.9,100,0.41,Corynebacterium,genus,679663,v1.2.2
GCF_000550785.1,C. casei,LMG_S_19264,NA,C_casei_LMG_S_19264.fasta,3132213,51,12,2886,NA,NA,NA,1,3113488,1744156,55.5,203.6x,3,3,3,1,3113488,3,3132213,3132213,99.04,100,NA,Corynebacterium,genus,160386,v1.2.2
GCF_000379705.1,C. caspium,DSM 44850,NA,C_caspium_DSM_44850.fasta,1843677,51,7,1631,NA,NA,NA,3,384448,916205,49.5,NA,10,10,8,3,420966,NA,1843677,1842962,97.5,100,0.04,Corynebacterium,genus,234828,v1.2.2
GCF_900105505.1,C. coyleae,DSM 44184,NA,C_coyleae_DSM_44184.fasta,2568936,52,12,2403,NA,NA,NA,1,2549827,1575189,61.5,1084.0x,2,2,NA,NA,NA,NA,2568936,2568936,97.84,100,2.26,Corynebacterium,genus,53374,v1.2.2
GCF_002843135.1,C. diphtheriae,ISS 3319,NA,C_diphtheriae_ISS_3319.fasta,2406896,53,14,2257,NA,NA,NA,1,2404936,1288053,53.5,NA,2,2,2,1,2404936,2,2406896,2406896,97.55,24.197002,0.12,Corynebacterium diphtheriae,species,1717,v1.2.2
GCF_000767055.1,C. doosanense,DSM 45436,NA,C_doosanense_DSM_45436.fasta,2698995,55,12,2607,NA,NA,NA,1,2671798,1802458,67,NA,2,2,2,1,2671798,2,2698995,2698995,99.9,100,0.79,Corynebacterium,genus,1121358,v1.2.2
GCF_000318135.1,C. durum,F0235,NA,C_durum_F0235.fasta,2809576,49,2,2581,NA,NA,NA,7,153438,1596733,57,226.0x,44,44,20,3,308261,NA,2809576,2809096,97.91,55,0.56,Corynebacterium,genus,61592,v1.2.2
GCF_000011305.1,C. efficiens,YS-314,NA,C_efficiens_YS_314.fasta,3219505,59,15,2870,NA,NA,NA,1,3147090,2027445,63,NA,3,3,3,1,3147090,3,3219505,3219505,98.12,100,0.11,Corynebacterium efficiens,species,152794,v1.2.2
GCF_004795735.1,C. endometrii,LMM_1653,NA,C_endometrii_LMM_1653.fasta,2477061,50,12,2183,NA,NA,NA,1,2477061,1509320,61,124.1x,1,1,1,1,2477061,1,2477061,2477061,99.49,100,NA,Corynebacterium,genus,2488819,v1.2.2
GCF_027570065.1,C. evansiae,c8Ua_174,NA,C_evansiae_c8Ua_174.fasta,2255182,50,5,1939,NA,NA,NA,3,349807,1419112,63,657.0x,28,28,NA,NA,NA,NA,2255182,2255182,99.9,100,NA,Corynebacterium,genus,2913499,v1.2.2
GCF_001941465.1,C. flavescens,OJ8,NA,C_flavescens_OJ8.fasta,2758653,53,16,2522,NA,NA,NA,1,2758653,1652887,60,NA,1,1,1,1,2758653,1,2758653,2758653,98.97,38.88889,3.05,Corynebacterium,genus,28028,v1.2.3
GCF_000143825.1,C. genitalium,ATCC 33030,NA,C_genitalium_ATCC_33030.fasta,2349953,51,9,2208,NA,NA,NA,2,1021671,1474041,62.5,25.0x,3,3,1,1,2349953,1,2349953,2349653,99.43,100,0.48,Corynebacterium,genus,38288,v1.2.2
GCF_016728645.1,C. glucuronolyticum,FDAARGOS_1111,NA,C_glucuronolyticum_FDAARGOS_1111.fasta,2941899,54,12,2631,NA,NA,NA,1,2921218,1729664,59,1093.2x,2,2,2,1,2921218,2,2941899,2941899,96.72,35.714287,5.51,Corynebacterium glucuronolyticum,species,39791,v1.2.2
GCF_000404185.1,C. glutamicum,SCgG2,NA,C_glutamicum_SCgG2.fasta,3350619,60,18,3063,NA,NA,NA,1,3350619,1807062,54,NA,1,1,1,1,3350619,1,3350619,3350619,99.13,100,0.02,Corynebacterium glutamicum,species,1718,v1.2.2
GCF_000341345.1,C. halotolerans,DSM 44683,NA,C_halotolerans_DSM_44683.fasta,3222008,55,12,2904,NA,NA,NA,1,3135752,2200760,68.5,NA,2,2,2,1,3135752,2,3222008,3222008,97.94,100,0.48,Corynebacterium halotolerans,species,225326,v1.2.2
GCF_027570215.1,C. hesseae,c19Ua_109,NA,C_hesseae_c19Ua_109.fasta,2660928,52,3,2452,NA,NA,NA,4,255391,1622635,61,664.0x,32,32,NA,NA,NA,NA,2660928,2660928,99.9,100,NA,Corynebacterium,genus,2913502,v1.2.2
GCF_000819445.1,C. humireducens,DSM 45392,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2681312,1838586,68.5,198.1x,1,1,1,1,2681312,1,2681312,2681312,99.49,100,1.03,Corynebacterium,genus,1223514,v1.2.2
GCF_900187215.1,C. imitans,NCTC13015,NA,C_imitans_NCTC13015.fasta,2565606,56,12,2350,NA,NA,NA,1,2565606,1648801,64.5,187.0x,1,1,1,1,2565606,1,2565606,2565606,99.74,57.142857,NA,Corynebacterium,genus,156978,v1.2.2
GCF_014217255.1,C. incognita,Marseille_Q3630,NA,C_incognita_Marseille_Q3630.fasta,2348705,54,10,2124,NA,NA,NA,1,2348605,1466359,62.5,22.0x,1,1,1,1,2348705,1,2348705,2348605,97.84,100,0.96,Corynebacterium,genus,2754725,v1.2.2
GCF_000006605.1,C. jeikeium,K411,NA,C_jeikeium_K411.fasta,2476822,51,9,2131,NA,NA,NA,1,2462499,1519564,61.5,NA,2,2,2,1,2462499,2,2476822,2476822,97.9,80,1.68,Corynebacterium jeikeium,species,38289,v1.2.2
GCF_009734385.1,C. kalinowskii,1959,NA,C_kalinowskii_1959.fasta,2510218,52,12,2393,NA,NA,NA,1,2510218,1469810,58.5,271.4x,1,1,1,1,2510218,1,2510218,2510218,99.86,100,0.21,Corynebacterium,genus,2675216,v1.2.2
GCF_000023145.1,C. kroppenstedtii,DSM 44385,NA,C_kroppenstedtii_DSM_44385.fasta,2446804,47,9,2110,NA,NA,NA,1,2446804,1405930,57.5,NA,1,1,1,1,2446804,1,2446804,2446804,98.29,100,0.57,Corynebacterium,genus,161879,v1.2.3
GCF_027570055.1,C. lehmanniae,c8Ua_144,NA,C_lehmanniae_c8Ua_144.fasta,2506931,50,3,2315,NA,NA,NA,9,96011,1639129,65.5,523.0x,81,81,NA,NA,NA,NA,2506931,2506931,97.13,50,0.48,Corynebacterium,genus,2913497,v1.2.2
GCF_011038655.2,C. lizhenjunii,ZJ_599,NA,C_lizhenjunii_ZJ_599.fasta,2607882,53,12,2358,NA,NA,NA,1,2607882,1603248,61.5,504.0x,1,1,1,1,2607882,1,2607882,2607882,99.42,100,NA,Corynebacterium,genus,2709394,v1.2.2
GCF_027570165.1,C. macclintockiae,c9Ua_112,NA,C_macclintockiae_c9Ua_112.fasta,2278675,53,3,1955,NA,NA,NA,4,174682,1413704,62,615.0x,35,35,NA,NA,NA,NA,2278675,2278675,99.77,100,0.21,Corynebacterium,genus,2913501,v1.2.2
GCF_003688935.1,C. macginleyi,CCUG 32361,ATCC 51787,Cma_CCUG32361.fasta,2419073,53,6,2368,NA,NA,0.57069999999999999,6,128157,1380519,57,96.0x,56,56,NA,NA,NA,NA,2419073,2419073,99.9,100,0.41,Corynebacterium,genus,38290,v1.2.2
GCF_016628735.2,C. macginleyi,160811,NA,C_macginleyi_160811.fasta,2431961,53,12,2357,NA,NA,NA,1,2431961,1386931,57,190.0x,1,1,1,1,2431961,1,2431961,2431961,99.9,100,0.82,Corynebacterium,genus,38290,v1.2.2
GCF_000835165.1,C. marinum,DSM 44953,NA,C_marinum_DSM_44953.fasta,2729219,53,12,2540,NA,NA,NA,1,2607268,1849115,68,243.8x,3,3,3,1,2607268,3,2729219,2729219,100,100,0.41,Corynebacterium,genus,349751,v1.2.2
GCF_000442645.1,C. maris,DSM 45190,NA,C_maris_DSM_45190.fasta,2833547,56,12,2607,NA,NA,NA,1,2787574,1886619,66.5,56.5x,2,2,2,1,2787574,2,2833547,2833547,100,100,NA,Corynebacterium,genus,575200,v1.2.2
GCF_000420605.1,C. massiliense,DSM 45435,NA,C_massiliense_DSM_45435.fasta,2183019,53,5,1959,NA,NA,NA,5,111901,1418850,65,NA,26,27,26,5,142684,NA,2183019,2183009,96.7,100,NA,Corynebacterium,genus,441501,v1.2.2
GCF_000375365.1,C. mastitidis,DSM 44356,NA,C_mastitidis_DSM_44356.fasta,2370005,49,5,2216,NA,NA,NA,4,243176,1635199,69,NA,39,39,NA,NA,NA,NA,2370005,2370005,99.55,72.72727,0.1,Corynebacterium,genus,161890,v1.2.2
GCF_000175375.1,C. matruchotii,ATCC 14266,NA,C_matruchotii_ATCC_14266.fasta,2855988,54,9,2530,NA,NA,NA,2,667132,1630402,57,19.3x,8,8,NA,NA,NA,NA,2855988,2855988,97.75,80,2.44,Corynebacterium matruchotii,species,43768,v1.2.2
GCF_027570075.1,C. meitnerae,c8Ua_172,NA,C_meitnerae_c8Ua_172.fasta,2258537,45,3,2108,NA,NA,NA,6,131877,1377235,61,657.0x,50,50,NA,NA,NA,NA,2258537,2258537,99.26,100,0.1,Corynebacterium,genus,2913498,v1.2.2
GCF_900478045.1,C. minutissimum,NCTC10288,NA,C_minutissimum_NCTC10288.fasta,2695970,51,12,2466,NA,NA,NA,1,2695970,1614823,60,111.0x,1,1,1,1,2695970,1,2695970,2695970,99.84,63.636364,NA,Corynebacterium,genus,38301,v1.2.2
GCF_012396315.1,C. mucifaciens,ATCC 700355,NA,C_mucifaciens_ATCC_700355.fasta,2185664,53,5,2085,NA,NA,NA,4,189937,1430869,65.5,267.8x,25,25,NA,NA,NA,NA,2185664,2185664,97.55,100,0.41,Corynebacterium,genus,57171,v1.2.2
GCF_042658165.1,C. nasicanis,CCUG 51943,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,364799,1831668,68,420.0x,13,20,13,2,727330,NA,2686150,2685597,99.26,100,0.41,Corynebacterium,genus,1448267,v1.2.3
GCF_000296405.1,C. otitidis,ATCC 51513,NA,C_otitidis_ATCC_51513.fasta,2118285,58,4,1795,NA,NA,NA,18,37124,1492335,71.5,214.0x,87,87,6,2,595073,NA,2118285,2090523,96.44,100,0.1,Corynebacterium,genus,29321,v1.2.2
GCF_004114895.1,C. pelargi,1363,NA,C_pelargi_1363.fasta,2370062,51,12,2158,NA,NA,NA,1,2370062,1378726,58,52.3x,1,1,1,1,2370062,1,2370062,2370062,99.59,100,NA,Corynebacterium,genus,1471400,v1.2.2
GCF_001941565.1,C. phocae,M408,NA,C_phocae_M408.fasta,2791883,52,12,2492,NA,NA,NA,1,2779609,1641897,59,NA,2,2,2,1,2779609,2,2791883,2791883,99.56,100,0.05,Corynebacterium,genus,161895,v1.2.2
GCF_900447205.1,C. pilosum,NCTC11862,NA,C_pilosum_NCTC11862.fasta,2593653,52,12,2401,NA,NA,NA,1,2579384,1573493,60.5,100.0x,2,2,NA,NA,NA,NA,2593653,2593653,100,100,0.41,Corynebacterium,genus,35756,v1.2.2
GCF_900177745.1,C. pollutisoli,VDS11,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,275142,1739808,68.5,323.0x,15,16,15,3,275142,NA,2540854,2540562,100,100,0.62,Corynebacterium,genus,1610489,v1.2.2
GCF_016728665.1,C. propinquum,FDAARGOS_1112,NA,C_propinquum_FDAARGOS_1112.fasta,2480127,47,9,2220,NA,NA,NA,1,2480127,1399651,56.5,958.6x,1,1,1,1,2480127,1,2480127,2480127,98.74,85.36585,NA,Corynebacterium,genus,43769,v1.2.2
GCF_000688415.1,C. pseudodiphtheriticum,DSM 44287,NA,C_pseudodiphtheriticum_DSM_44287.fasta,2261008,47,6,2046,NA,NA,NA,3,279745,1250219,55.5,NA,13,13,NA,NA,NA,NA,2261008,2261008,98.88,100,NA,Corynebacterium,genus,37637,v1.2.2
GCF_003814005.1,C. pseudopelargi,812CH,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2345052,1359731,58,208.8x,2,2,2,1,2345052,2,2348160,2348160,100,100,NA,Corynebacterium,genus,2080757,v1.2.2
GCF_001865765.1,C. pseudotuberculosis,MEX29,NA,C_pseudotuberculosis_MEX29.fasta,2337866,49,12,2100,NA,NA,NA,1,2337866,1219957,52,273.1x,1,1,1,1,2337866,1,2337866,2337866,99.31,80.932205,0.44,Corynebacterium pseudotuberculosis,species,1719,v1.2.2
GCF_000177535.2,C. resistens,DSM 45100,NA,C_resistens_DSM_45100.fasta,2601311,52,9,2259,NA,NA,NA,1,2601311,1485138,57,NA,1,1,1,1,2601311,1,2601311,2601311,98.09,50,NA,Corynebacterium,genus,258224,v1.2.2
GCF_001586235.1,C. simulans,Wattiau,NA,C_simulans_Wattiau.fasta,2598702,52,12,2398,NA,NA,NA,1,2598702,1539890,59.5,100.0x,1,1,1,1,2598702,1,2598702,2598702,99.86,71.42857,0.07,Corynebacterium,genus,146827,v1.2.2
GCF_000833575.1,C. singulare,IBS_B52218,NA,C_singulare_IBS_B52218.fasta,2830519,53,12,2593,NA,NA,NA,1,2830519,1701671,60,206.9x,1,1,1,1,2830519,1,2830519,2830519,99.9,100,0.05,Corynebacterium,genus,161899,v1.2.2
GCF_001941345.1,C. stationis,DSM 20302,NA,C_stationis_DSM_20302.fasta,2862233,52,15,2626,NA,NA,NA,1,2808767,1571099,55,NA,2,2,2,1,2808767,2,2862233,2862233,99.07,82.14286,0.58,Corynebacterium,genus,1705,v1.2.2
GCF_016728105.1,C. striatum,FDAARGOS_1115,NA,C_striatum_FDAARGOS_1115.fasta,2904831,54,12,2710,NA,NA,NA,1,2904831,1723895,59.5,1584.7x,1,1,1,1,2904831,1,2904831,2904831,99.9,100,0.13,Corynebacterium,genus,43770,v1.2.2
GCF_000312345.1,C. timonense,5401744,NA,C_timonense_5401744.fasta,2590418,57,3,2376,NA,NA,NA,12,88809,1708097,67,NA,57,57,18,3,305362,NA,2590418,2555337,98.43,50,1.06,Corynebacterium,genus,441500,v1.2.2
GCF_016728365.1,C. tuberculostearicum,FDAARGOS_1117,NA,C_tuberculostearicum_FDAARGOS_1117.fasta,2451854,51,12,2303,NA,NA,NA,1,2451854,1464776,59.5,1898.0x,1,1,1,1,2451854,1,2451854,2451854,99.69,34.615383,NA,Corynebacterium,genus,38304,v1.2.2
GCF_000215645.1,C. ulcerans,809,NA,C_ulcerans_809.fasta,2502095,52,12,2228,NA,NA,NA,1,2502095,1333685,53.5,NA,1,1,1,1,2502095,1,2502095,2502095,98.1,90.56604,0.3,Corynebacterium ulcerans,species,65058,v1.2.3
GCF_900187235.1,C. urealyticum,NCTC12011,NA,C_urealyticum_NCTC12011.fasta,2377532,52,9,2007,NA,NA,NA,1,2377532,1525496,64,264.0x,1,1,1,1,2377532,1,2377532,2377532,98.22,100,0.07,Corynebacterium urealyticum,species,43771,v1.2.2
GCF_006539825.1,C. variabile,NBRC_15286,NA,C_variabile_NBRC_15286.fasta,3192709,54,3,2942,NA,NA,NA,9,126375,2149960,67.5,113.0x,68,68,NA,NA,NA,NA,3192709,3192709,99.83,100,3.31,Corynebacterium,genus,1727,v1.2.3
