Assembly Accession	ANI Best ANI match ANI	ANI Best ANI match Assembly	ANI Best ANI match Assembly Coverage	ANI Best ANI match Type Category	ANI Best ANI match Organism	ANI Best ANI match Type Assembly Coverage	ANI Best match status	ANI Category	ANI Check status	ANI Comment	ANI Declared ANI match ANI	ANI Declared ANI match Assembly	ANI Declared ANI match Assembly Coverage	ANI Declared ANI match Type Category	ANI Declared ANI match Organism	ANI Declared ANI match Type Assembly Coverage	ANI Submitted organism	ANI Submitted species	Annotation BUSCO Complete 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Lineage 	Annotation BUSCO Missing 	Annotation BUSCO Single Copy 	Annotation BUSCO Total Count 	Annotation BUSCO Version 	Annotation Count Gene Non-coding	Annotation Count Gene Other	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene	Annotation Count Gene Total	Annotation Method	Annotation Name	Annotation Pipeline	Annotation Provider	Annotation Release Date	Annotation Release Version	Annotation Report URL	Annotation Software Version	Annotation Status	Assembly Assembly Method	Assembly Atypical Is Atypical	Assembly Atypical Warnings	Assembly BioProject Accession	Assembly BioProject Lineage Accession	Assembly BioProject Lineage Parent Accession	Assembly BioProject Lineage Parent Accessions	Assembly BioProject Lineage Title	Assembly BioSample Accession	Assembly BioSample Age 	Assembly BioSample Attribute Name	Assembly BioSample Attribute Value	Assembly BioSample Biomaterial provider 	Assembly BioSample BioProject Accession	Assembly BioSample BioProject Parent Accession	Assembly BioSample BioProject Parent Accessions	Assembly BioSample BioProject Title	Assembly BioSample Breed 	Assembly BioSample Collected by 	Assembly BioSample Collection date 	Assembly BioSample Cultivar 	Assembly BioSample Description Comment	Assembly BioSample Description Organism Common Name	Assembly BioSample Description Organism Infraspecific Names Breed	Assembly BioSample Description Organism Infraspecific Names Cultivar	Assembly BioSample Description Organism Infraspecific Names Ecotype	Assembly BioSample Description Organism Infraspecific Names Isolate	Assembly BioSample Description Organism Infraspecific Names Sex	Assembly BioSample Description Organism Infraspecific Names Strain	Assembly BioSample Description Organism Name	Assembly BioSample Description Organism Pangolin Classification	Assembly BioSample Description Organism Taxonomic ID	Assembly BioSample Description Title	Assembly BioSample Development stage 	Assembly BioSample Ecotype 	Assembly BioSample Geographic location 	Assembly BioSample Host 	Assembly BioSample Host disease 	Assembly BioSample Identified by 	Assembly BioSample Sample Identifiers Database	Assembly BioSample Sample Identifiers Label	Assembly BioSample Sample Identifiers Value	Assembly BioSample IFSAC category 	Assembly BioSample Isolate 	Assembly BioSample Isolate name alias 	Assembly BioSample Isolation source 	Assembly BioSample Last updated	Assembly BioSample Latitude / Longitude 	Assembly BioSample Models	Assembly BioSample Owner Contact Lab	Assembly BioSample Owner Name	Assembly BioSample Package	Assembly BioSample Project name  	Assembly BioSample Publication date	Assembly BioSample Sample name 	Assembly BioSample Serotype 	Assembly BioSample Serovar 	Assembly BioSample Sex 	Assembly BioSample Source type 	Assembly BioSample Status Status	Assembly BioSample Status When	Assembly BioSample Strain 	Assembly BioSample Sub-species 	Assembly BioSample Submission date	Assembly BioSample Tissue 	Assembly Blast URL	Assembly Description	Assembly Level	Assembly Linked Assembly Accession	Assembly Linked Assembly Type	Assembly Name	Assembly Notes 	Assembly Paired Assembly Accession	Assembly Paired Assembly Changed	Assembly Paired Assembly Manual Diff	Assembly Paired Assembly Name	Assembly Paired Assembly Only Genbank	Assembly Paired Assembly Only RefSeq	Assembly Paired Assembly Status	Assembly Refseq Category	Assembly Release Date	Assembly Sequencing Tech	Assembly Status	Assembly Submitter	Assembly Suppression Reason	Assembly Synonym	Assembly Type	Assembly Stats Contig L50	Assembly Stats Contig N50	Assembly Stats Gaps Between Scaffolds Count	Assembly Stats GC Count	Assembly Stats GC Percent	Assembly Stats Genome Coverage	Assembly Stats Number of Component Sequences	Assembly Stats Number of Contigs	Assembly Stats Number of Organelles	Assembly Stats Number of Scaffolds	Assembly Stats Scaffold L50	Assembly Stats Scaffold N50	Assembly Stats Total Number of Chromosomes	Assembly Stats Total Sequence Length	Assembly Stats Total Ungapped Length	CheckM completeness	CheckM completeness percentile	CheckM contamination	CheckM marker set	CheckM marker set rank	CheckM species tax id	CheckM version	Current Accession	Organelle Assembly Name	Organelle BioProject Accessions	Organelle Description	Organelle Infraspecific Name	Organelle Submitter	Organelle Total Seq Length	Organism Common Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Organism Infraspecific Names Strain	Organism Name	Organism Pangolin Classification	Organism Taxonomic ID	Source Database	Type Material Display Text	Type Material Label	WGS contigs URL	WGS project accession	WGS URL
GCF_016599755.1	96.11	GCA_002154655.1	87.3	type	Corynebacterium kefirresidentii	83.79	species_match	category_na	OK	na	96.11	GCA_002154655.1	87.3	type	Corynebacterium kefirresidentii	83.79	Corynebacterium kefirresidentii	Corynebacterium kefirresidentii									65		2303	21	2389	Best-placed reference protein set; GeneMarkS-2+	GCF_016599755.1-RS_2024_06_10	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2024-06-10			6.7		SMRT v. 2.3.0, HGAP v. 3			PRJNA231221	PRJNA231221		PRJNA608517	FDA-ARGOS is a database with public quality-controlled reference genomes for diagnostic use and regulatory science	SAMN16357224		collected_by	DSMZ		PRJNA231221					DSMZ	Unknown		DSM 44921								Corynebacterium kefirresidentii		1979527	Pathogen: clinical or host-associated sample from Corynebacterium kefirresidentii			Germany: Braunschweig	missing	Unknown			Sample name	FDAARGOS_1055		Not applicable		missing	2021-01-05T09:26:20.576	Not applicable	Pathogen.cl		FDA-ARGOS Database	Pathogen.cl.1.0		2020-10-03T00:00:00.000						live	2020-10-03T14:56:09.697	FDAARGOS_1055		2020-10-03T14:56:09.696				Complete Genome			ASM1659975v1		GCA_016599755.1			NCBI Prokaryotic Genome Annotation Pipeline (PGAP)			current	reference genome	2021-01-11	Pacbio; Illumina	current	US Food and Drug Administration			haploid	1	2470582		1474752	58.5	1305.0x	2	2		2	1	2470582	2	2523206	2523206	99.85	50		Corynebacterium	genus	1979527	v1.2.2	GCF_016599755.1													FDAARGOS_1055	Corynebacterium kefirresidentii		1979527	SOURCE_DATABASE_REFSEQ					
GCF_016599755.1	96.11	GCA_002154655.1	87.3	type	Corynebacterium kefirresidentii	83.79	species_match	category_na	OK	na	96.11	GCA_002154655.1	87.3	type	Corynebacterium kefirresidentii	83.79	Corynebacterium kefirresidentii	Corynebacterium kefirresidentii									65		2303	21	2389	Best-placed reference protein set; GeneMarkS-2+	GCF_016599755.1-RS_2024_06_10	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2024-06-10			6.7		SMRT v. 2.3.0, HGAP v. 3			PRJNA231221	PRJNA231221		PRJNA608517	FDA-ARGOS is a database with public quality-controlled reference genomes for diagnostic use and regulatory science	SAMN16357224		collected_by	DSMZ		PRJNA231221					DSMZ	Unknown		DSM 44921								Corynebacterium kefirresidentii		1979527	Pathogen: clinical or host-associated sample from Corynebacterium kefirresidentii			Germany: Braunschweig	missing	Unknown		SRA		SRS7519934		Not applicable		missing	2021-01-05T09:26:20.576	Not applicable	Pathogen.cl		FDA-ARGOS Database	Pathogen.cl.1.0		2020-10-03T00:00:00.000						live	2020-10-03T14:56:09.697	FDAARGOS_1055		2020-10-03T14:56:09.696				Complete Genome			ASM1659975v1		GCA_016599755.1			NCBI Prokaryotic Genome Annotation Pipeline (PGAP)			current	reference genome	2021-01-11	Pacbio; Illumina	current	US Food and Drug Administration			haploid	1	2470582		1474752	58.5	1305.0x	2	2		2	1	2470582	2	2523206	2523206	99.85	50		Corynebacterium	genus	1979527	v1.2.2	GCF_016599755.1													FDAARGOS_1055	Corynebacterium kefirresidentii		1979527	SOURCE_DATABASE_REFSEQ					
GCF_016599755.1	96.11	GCA_002154655.1	87.3	type	Corynebacterium kefirresidentii	83.79	species_match	category_na	OK	na	96.11	GCA_002154655.1	87.3	type	Corynebacterium kefirresidentii	83.79	Corynebacterium kefirresidentii	Corynebacterium kefirresidentii									65		2303	21	2389	Best-placed reference protein set; GeneMarkS-2+	GCF_016599755.1-RS_2024_06_10	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2024-06-10			6.7		SMRT v. 2.3.0, HGAP v. 3			PRJNA231221	PRJNA231221		PRJNA608517	FDA-ARGOS is a database with public quality-controlled reference genomes for diagnostic use and regulatory science	SAMN16357224		collection_date	Unknown		PRJNA231221					DSMZ	Unknown		DSM 44921								Corynebacterium kefirresidentii		1979527	Pathogen: clinical or host-associated sample from Corynebacterium kefirresidentii			Germany: Braunschweig	missing	Unknown			Sample name	FDAARGOS_1055		Not applicable		missing	2021-01-05T09:26:20.576	Not applicable	Pathogen.cl		FDA-ARGOS Database	Pathogen.cl.1.0		2020-10-03T00:00:00.000						live	2020-10-03T14:56:09.697	FDAARGOS_1055		2020-10-03T14:56:09.696				Complete Genome			ASM1659975v1		GCA_016599755.1			NCBI Prokaryotic Genome Annotation Pipeline (PGAP)			current	reference genome	2021-01-11	Pacbio; Illumina	current	US Food and Drug Administration			haploid	1	2470582		1474752	58.5	1305.0x	2	2		2	1	2470582	2	2523206	2523206	99.85	50		Corynebacterium	genus	1979527	v1.2.2	GCF_016599755.1													FDAARGOS_1055	Corynebacterium kefirresidentii		1979527	SOURCE_DATABASE_REFSEQ					
GCF_016599755.1	96.11	GCA_002154655.1	87.3	type	Corynebacterium kefirresidentii	83.79	species_match	category_na	OK	na	96.11	GCA_002154655.1	87.3	type	Corynebacterium kefirresidentii	83.79	Corynebacterium kefirresidentii	Corynebacterium kefirresidentii									65		2303	21	2389	Best-placed reference protein set; GeneMarkS-2+	GCF_016599755.1-RS_2024_06_10	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2024-06-10			6.7		SMRT v. 2.3.0, HGAP v. 3			PRJNA231221	PRJNA231221		PRJNA608517	FDA-ARGOS is a database with public quality-controlled reference genomes for diagnostic use and regulatory science	SAMN16357224		collection_date	Unknown		PRJNA231221					DSMZ	Unknown		DSM 44921								Corynebacterium kefirresidentii		1979527	Pathogen: clinical or host-associated sample from Corynebacterium kefirresidentii			Germany: Braunschweig	missing	Unknown		SRA		SRS7519934		Not applicable		missing	2021-01-05T09:26:20.576	Not applicable	Pathogen.cl		FDA-ARGOS Database	Pathogen.cl.1.0		2020-10-03T00:00:00.000						live	2020-10-03T14:56:09.697	FDAARGOS_1055		2020-10-03T14:56:09.696				Complete Genome			ASM1659975v1		GCA_016599755.1			NCBI Prokaryotic Genome Annotation Pipeline (PGAP)			current	reference genome	2021-01-11	Pacbio; Illumina	current	US Food and Drug Administration			haploid	1	2470582		1474752	58.5	1305.0x	2	2		2	1	2470582	2	2523206	2523206	99.85	50		Corynebacterium	genus	1979527	v1.2.2	GCF_016599755.1													FDAARGOS_1055	Corynebacterium kefirresidentii		1979527	SOURCE_DATABASE_REFSEQ					
GCF_016599755.1	96.11	GCA_002154655.1	87.3	type	Corynebacterium kefirresidentii	83.79	species_match	category_na	OK	na	96.11	GCA_002154655.1	87.3	type	Corynebacterium kefirresidentii	83.79	Corynebacterium kefirresidentii	Corynebacterium kefirresidentii									65		2303	21	2389	Best-placed reference protein set; GeneMarkS-2+	GCF_016599755.1-RS_2024_06_10	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2024-06-10			6.7		SMRT v. 2.3.0, HGAP v. 3			PRJNA231221	PRJNA231221		PRJNA608517	FDA-ARGOS is a database with public quality-controlled reference genomes for diagnostic use and regulatory science	SAMN16357224		geo_loc_name	Germany: Braunschweig		PRJNA231221					DSMZ	Unknown		DSM 44921								Corynebacterium kefirresidentii		1979527	Pathogen: clinical or host-associated sample from Corynebacterium kefirresidentii			Germany: Braunschweig	missing	Unknown			Sample name	FDAARGOS_1055		Not applicable		missing	2021-01-05T09:26:20.576	Not applicable	Pathogen.cl		FDA-ARGOS Database	Pathogen.cl.1.0		2020-10-03T00:00:00.000						live	2020-10-03T14:56:09.697	FDAARGOS_1055		2020-10-03T14:56:09.696				Complete Genome			ASM1659975v1		GCA_016599755.1			NCBI Prokaryotic Genome Annotation Pipeline (PGAP)			current	reference genome	2021-01-11	Pacbio; Illumina	current	US Food and Drug Administration			haploid	1	2470582		1474752	58.5	1305.0x	2	2		2	1	2470582	2	2523206	2523206	99.85	50		Corynebacterium	genus	1979527	v1.2.2	GCF_016599755.1													FDAARGOS_1055	Corynebacterium kefirresidentii		1979527	SOURCE_DATABASE_REFSEQ					
GCF_016599755.1	96.11	GCA_002154655.1	87.3	type	Corynebacterium kefirresidentii	83.79	species_match	category_na	OK	na	96.11	GCA_002154655.1	87.3	type	Corynebacterium kefirresidentii	83.79	Corynebacterium kefirresidentii	Corynebacterium kefirresidentii									65		2303	21	2389	Best-placed reference protein set; GeneMarkS-2+	GCF_016599755.1-RS_2024_06_10	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2024-06-10			6.7		SMRT v. 2.3.0, HGAP v. 3			PRJNA231221	PRJNA231221		PRJNA608517	FDA-ARGOS is a database with public quality-controlled reference genomes for diagnostic use and regulatory science	SAMN16357224		geo_loc_name	Germany: Braunschweig		PRJNA231221					DSMZ	Unknown		DSM 44921								Corynebacterium kefirresidentii		1979527	Pathogen: clinical or host-associated sample from Corynebacterium kefirresidentii			Germany: Braunschweig	missing	Unknown		SRA		SRS7519934		Not applicable		missing	2021-01-05T09:26:20.576	Not applicable	Pathogen.cl		FDA-ARGOS Database	Pathogen.cl.1.0		2020-10-03T00:00:00.000						live	2020-10-03T14:56:09.697	FDAARGOS_1055		2020-10-03T14:56:09.696				Complete Genome			ASM1659975v1		GCA_016599755.1			NCBI Prokaryotic Genome Annotation Pipeline (PGAP)			current	reference genome	2021-01-11	Pacbio; Illumina	current	US Food and Drug Administration			haploid	1	2470582		1474752	58.5	1305.0x	2	2		2	1	2470582	2	2523206	2523206	99.85	50		Corynebacterium	genus	1979527	v1.2.2	GCF_016599755.1													FDAARGOS_1055	Corynebacterium kefirresidentii		1979527	SOURCE_DATABASE_REFSEQ					
GCF_016599755.1	96.11	GCA_002154655.1	87.3	type	Corynebacterium kefirresidentii	83.79	species_match	category_na	OK	na	96.11	GCA_002154655.1	87.3	type	Corynebacterium kefirresidentii	83.79	Corynebacterium kefirresidentii	Corynebacterium kefirresidentii									65		2303	21	2389	Best-placed reference protein set; GeneMarkS-2+	GCF_016599755.1-RS_2024_06_10	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2024-06-10			6.7		SMRT v. 2.3.0, HGAP v. 3			PRJNA231221	PRJNA231221		PRJNA608517	FDA-ARGOS is a database with public quality-controlled reference genomes for diagnostic use and regulatory science	SAMN16357224		isolation_source	missing		PRJNA231221					DSMZ	Unknown		DSM 44921								Corynebacterium kefirresidentii		1979527	Pathogen: clinical or host-associated sample from Corynebacterium kefirresidentii			Germany: Braunschweig	missing	Unknown			Sample name	FDAARGOS_1055		Not applicable		missing	2021-01-05T09:26:20.576	Not applicable	Pathogen.cl		FDA-ARGOS Database	Pathogen.cl.1.0		2020-10-03T00:00:00.000						live	2020-10-03T14:56:09.697	FDAARGOS_1055		2020-10-03T14:56:09.696				Complete Genome			ASM1659975v1		GCA_016599755.1			NCBI Prokaryotic Genome Annotation Pipeline (PGAP)			current	reference genome	2021-01-11	Pacbio; Illumina	current	US Food and Drug Administration			haploid	1	2470582		1474752	58.5	1305.0x	2	2		2	1	2470582	2	2523206	2523206	99.85	50		Corynebacterium	genus	1979527	v1.2.2	GCF_016599755.1													FDAARGOS_1055	Corynebacterium kefirresidentii		1979527	SOURCE_DATABASE_REFSEQ					
GCF_016599755.1	96.11	GCA_002154655.1	87.3	type	Corynebacterium kefirresidentii	83.79	species_match	category_na	OK	na	96.11	GCA_002154655.1	87.3	type	Corynebacterium kefirresidentii	83.79	Corynebacterium kefirresidentii	Corynebacterium kefirresidentii									65		2303	21	2389	Best-placed reference protein set; GeneMarkS-2+	GCF_016599755.1-RS_2024_06_10	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2024-06-10			6.7		SMRT v. 2.3.0, HGAP v. 3			PRJNA231221	PRJNA231221		PRJNA608517	FDA-ARGOS is a database with public quality-controlled reference genomes for diagnostic use and regulatory science	SAMN16357224		isolation_source	missing		PRJNA231221					DSMZ	Unknown		DSM 44921								Corynebacterium kefirresidentii		1979527	Pathogen: clinical or host-associated sample from Corynebacterium kefirresidentii			Germany: Braunschweig	missing	Unknown		SRA		SRS7519934		Not applicable		missing	2021-01-05T09:26:20.576	Not applicable	Pathogen.cl		FDA-ARGOS Database	Pathogen.cl.1.0		2020-10-03T00:00:00.000						live	2020-10-03T14:56:09.697	FDAARGOS_1055		2020-10-03T14:56:09.696				Complete Genome			ASM1659975v1		GCA_016599755.1			NCBI Prokaryotic Genome Annotation Pipeline (PGAP)			current	reference genome	2021-01-11	Pacbio; Illumina	current	US Food and Drug Administration			haploid	1	2470582		1474752	58.5	1305.0x	2	2		2	1	2470582	2	2523206	2523206	99.85	50		Corynebacterium	genus	1979527	v1.2.2	GCF_016599755.1													FDAARGOS_1055	Corynebacterium kefirresidentii		1979527	SOURCE_DATABASE_REFSEQ					
GCF_016599755.1	96.11	GCA_002154655.1	87.3	type	Corynebacterium kefirresidentii	83.79	species_match	category_na	OK	na	96.11	GCA_002154655.1	87.3	type	Corynebacterium kefirresidentii	83.79	Corynebacterium kefirresidentii	Corynebacterium kefirresidentii									65		2303	21	2389	Best-placed reference protein set; GeneMarkS-2+	GCF_016599755.1-RS_2024_06_10	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2024-06-10			6.7		SMRT v. 2.3.0, HGAP v. 3			PRJNA231221	PRJNA231221		PRJNA608517	FDA-ARGOS is a database with public quality-controlled reference genomes for diagnostic use and regulatory science	SAMN16357224		lat_lon	Not applicable		PRJNA231221					DSMZ	Unknown		DSM 44921								Corynebacterium kefirresidentii		1979527	Pathogen: clinical or host-associated sample from Corynebacterium kefirresidentii			Germany: Braunschweig	missing	Unknown			Sample name	FDAARGOS_1055		Not applicable		missing	2021-01-05T09:26:20.576	Not applicable	Pathogen.cl		FDA-ARGOS Database	Pathogen.cl.1.0		2020-10-03T00:00:00.000						live	2020-10-03T14:56:09.697	FDAARGOS_1055		2020-10-03T14:56:09.696				Complete Genome			ASM1659975v1		GCA_016599755.1			NCBI Prokaryotic Genome Annotation Pipeline (PGAP)			current	reference genome	2021-01-11	Pacbio; Illumina	current	US Food and Drug Administration			haploid	1	2470582		1474752	58.5	1305.0x	2	2		2	1	2470582	2	2523206	2523206	99.85	50		Corynebacterium	genus	1979527	v1.2.2	GCF_016599755.1													FDAARGOS_1055	Corynebacterium kefirresidentii		1979527	SOURCE_DATABASE_REFSEQ					
GCF_016599755.1	96.11	GCA_002154655.1	87.3	type	Corynebacterium kefirresidentii	83.79	species_match	category_na	OK	na	96.11	GCA_002154655.1	87.3	type	Corynebacterium kefirresidentii	83.79	Corynebacterium kefirresidentii	Corynebacterium kefirresidentii									65		2303	21	2389	Best-placed reference protein set; GeneMarkS-2+	GCF_016599755.1-RS_2024_06_10	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2024-06-10			6.7		SMRT v. 2.3.0, HGAP v. 3			PRJNA231221	PRJNA231221		PRJNA608517	FDA-ARGOS is a database with public quality-controlled reference genomes for diagnostic use and regulatory science	SAMN16357224		lat_lon	Not applicable		PRJNA231221					DSMZ	Unknown		DSM 44921								Corynebacterium kefirresidentii		1979527	Pathogen: clinical or host-associated sample from Corynebacterium kefirresidentii			Germany: Braunschweig	missing	Unknown		SRA		SRS7519934		Not applicable		missing	2021-01-05T09:26:20.576	Not applicable	Pathogen.cl		FDA-ARGOS Database	Pathogen.cl.1.0		2020-10-03T00:00:00.000						live	2020-10-03T14:56:09.697	FDAARGOS_1055		2020-10-03T14:56:09.696				Complete Genome			ASM1659975v1		GCA_016599755.1			NCBI Prokaryotic Genome Annotation Pipeline (PGAP)			current	reference genome	2021-01-11	Pacbio; Illumina	current	US Food and Drug Administration			haploid	1	2470582		1474752	58.5	1305.0x	2	2		2	1	2470582	2	2523206	2523206	99.85	50		Corynebacterium	genus	1979527	v1.2.2	GCF_016599755.1													FDAARGOS_1055	Corynebacterium kefirresidentii		1979527	SOURCE_DATABASE_REFSEQ					
GCF_016599755.1	96.11	GCA_002154655.1	87.3	type	Corynebacterium kefirresidentii	83.79	species_match	category_na	OK	na	96.11	GCA_002154655.1	87.3	type	Corynebacterium kefirresidentii	83.79	Corynebacterium kefirresidentii	Corynebacterium kefirresidentii									65		2303	21	2389	Best-placed reference protein set; GeneMarkS-2+	GCF_016599755.1-RS_2024_06_10	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2024-06-10			6.7		SMRT v. 2.3.0, HGAP v. 3			PRJNA231221	PRJNA231221		PRJNA608517	FDA-ARGOS is a database with public quality-controlled reference genomes for diagnostic use and regulatory science	SAMN16357224		culture_collection	DSM:44921		PRJNA231221					DSMZ	Unknown		DSM 44921								Corynebacterium kefirresidentii		1979527	Pathogen: clinical or host-associated sample from Corynebacterium kefirresidentii			Germany: Braunschweig	missing	Unknown			Sample name	FDAARGOS_1055		Not applicable		missing	2021-01-05T09:26:20.576	Not applicable	Pathogen.cl		FDA-ARGOS Database	Pathogen.cl.1.0		2020-10-03T00:00:00.000						live	2020-10-03T14:56:09.697	FDAARGOS_1055		2020-10-03T14:56:09.696				Complete Genome			ASM1659975v1		GCA_016599755.1			NCBI Prokaryotic Genome Annotation Pipeline (PGAP)			current	reference genome	2021-01-11	Pacbio; Illumina	current	US Food and Drug Administration			haploid	1	2470582		1474752	58.5	1305.0x	2	2		2	1	2470582	2	2523206	2523206	99.85	50		Corynebacterium	genus	1979527	v1.2.2	GCF_016599755.1													FDAARGOS_1055	Corynebacterium kefirresidentii		1979527	SOURCE_DATABASE_REFSEQ					
GCF_016599755.1	96.11	GCA_002154655.1	87.3	type	Corynebacterium kefirresidentii	83.79	species_match	category_na	OK	na	96.11	GCA_002154655.1	87.3	type	Corynebacterium kefirresidentii	83.79	Corynebacterium kefirresidentii	Corynebacterium kefirresidentii									65		2303	21	2389	Best-placed reference protein set; GeneMarkS-2+	GCF_016599755.1-RS_2024_06_10	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2024-06-10			6.7		SMRT v. 2.3.0, HGAP v. 3			PRJNA231221	PRJNA231221		PRJNA608517	FDA-ARGOS is a database with public quality-controlled reference genomes for diagnostic use and regulatory science	SAMN16357224		culture_collection	DSM:44921		PRJNA231221					DSMZ	Unknown		DSM 44921								Corynebacterium kefirresidentii		1979527	Pathogen: clinical or host-associated sample from Corynebacterium kefirresidentii			Germany: Braunschweig	missing	Unknown		SRA		SRS7519934		Not applicable		missing	2021-01-05T09:26:20.576	Not applicable	Pathogen.cl		FDA-ARGOS Database	Pathogen.cl.1.0		2020-10-03T00:00:00.000						live	2020-10-03T14:56:09.697	FDAARGOS_1055		2020-10-03T14:56:09.696				Complete Genome			ASM1659975v1		GCA_016599755.1			NCBI Prokaryotic Genome Annotation Pipeline (PGAP)			current	reference genome	2021-01-11	Pacbio; Illumina	current	US Food and Drug Administration			haploid	1	2470582		1474752	58.5	1305.0x	2	2		2	1	2470582	2	2523206	2523206	99.85	50		Corynebacterium	genus	1979527	v1.2.2	GCF_016599755.1													FDAARGOS_1055	Corynebacterium kefirresidentii		1979527	SOURCE_DATABASE_REFSEQ					
GCF_016599755.1	96.11	GCA_002154655.1	87.3	type	Corynebacterium kefirresidentii	83.79	species_match	category_na	OK	na	96.11	GCA_002154655.1	87.3	type	Corynebacterium kefirresidentii	83.79	Corynebacterium kefirresidentii	Corynebacterium kefirresidentii									65		2303	21	2389	Best-placed reference protein set; GeneMarkS-2+	GCF_016599755.1-RS_2024_06_10	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2024-06-10			6.7		SMRT v. 2.3.0, HGAP v. 3			PRJNA231221	PRJNA231221		PRJNA608517	FDA-ARGOS is a database with public quality-controlled reference genomes for diagnostic use and regulatory science	SAMN16357224		host	missing		PRJNA231221					DSMZ	Unknown		DSM 44921								Corynebacterium kefirresidentii		1979527	Pathogen: clinical or host-associated sample from Corynebacterium kefirresidentii			Germany: Braunschweig	missing	Unknown			Sample name	FDAARGOS_1055		Not applicable		missing	2021-01-05T09:26:20.576	Not applicable	Pathogen.cl		FDA-ARGOS Database	Pathogen.cl.1.0		2020-10-03T00:00:00.000						live	2020-10-03T14:56:09.697	FDAARGOS_1055		2020-10-03T14:56:09.696				Complete Genome			ASM1659975v1		GCA_016599755.1			NCBI Prokaryotic Genome Annotation Pipeline (PGAP)			current	reference genome	2021-01-11	Pacbio; Illumina	current	US Food and Drug Administration			haploid	1	2470582		1474752	58.5	1305.0x	2	2		2	1	2470582	2	2523206	2523206	99.85	50		Corynebacterium	genus	1979527	v1.2.2	GCF_016599755.1													FDAARGOS_1055	Corynebacterium kefirresidentii		1979527	SOURCE_DATABASE_REFSEQ					
GCF_016599755.1	96.11	GCA_002154655.1	87.3	type	Corynebacterium kefirresidentii	83.79	species_match	category_na	OK	na	96.11	GCA_002154655.1	87.3	type	Corynebacterium kefirresidentii	83.79	Corynebacterium kefirresidentii	Corynebacterium kefirresidentii									65		2303	21	2389	Best-placed reference protein set; GeneMarkS-2+	GCF_016599755.1-RS_2024_06_10	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2024-06-10			6.7		SMRT v. 2.3.0, HGAP v. 3			PRJNA231221	PRJNA231221		PRJNA608517	FDA-ARGOS is a database with public quality-controlled reference genomes for diagnostic use and regulatory science	SAMN16357224		host	missing		PRJNA231221					DSMZ	Unknown		DSM 44921								Corynebacterium kefirresidentii		1979527	Pathogen: clinical or host-associated sample from Corynebacterium kefirresidentii			Germany: Braunschweig	missing	Unknown		SRA		SRS7519934		Not applicable		missing	2021-01-05T09:26:20.576	Not applicable	Pathogen.cl		FDA-ARGOS Database	Pathogen.cl.1.0		2020-10-03T00:00:00.000						live	2020-10-03T14:56:09.697	FDAARGOS_1055		2020-10-03T14:56:09.696				Complete Genome			ASM1659975v1		GCA_016599755.1			NCBI Prokaryotic Genome Annotation Pipeline (PGAP)			current	reference genome	2021-01-11	Pacbio; Illumina	current	US Food and Drug Administration			haploid	1	2470582		1474752	58.5	1305.0x	2	2		2	1	2470582	2	2523206	2523206	99.85	50		Corynebacterium	genus	1979527	v1.2.2	GCF_016599755.1													FDAARGOS_1055	Corynebacterium kefirresidentii		1979527	SOURCE_DATABASE_REFSEQ					
